Model,Dataset,TTS_Method,Disease,Count,FID_Mean,FID_Std,CSIM_Mean,CSIM_Std
EDTalk,RAW,CosyVoice,ALS,9,82.25209469265408,87.59585890637084,0.8654754633333334,0.06600896563354729
EDTalk,RAW,XTTSv2,ALS,9,78.0505239698622,82.91091563041378,0.8661197077777777,0.06810261396015241
EDTalk,RAW,YourTTS,ALS,9,81.46561643812392,84.80385692090107,0.8708639877777777,0.06448485428593558
EDTalk,RAW,CosyVoice,Stroke,11,68.80198461359197,20.57762939136572,0.8896491754545454,0.037087737327336764
EDTalk,RAW,XTTSv2,Stroke,11,68.6904341957786,19.650390323242064,0.8876212963636363,0.03704226995721435
EDTalk,RAW,YourTTS,Stroke,11,70.32089441472834,21.236878390216884,0.8914305827272727,0.03838898421457411
EDTalk,VCTK,CosyVoice,ALS,9,77.71398417154948,79.69105788103191,0.8467021200000001,0.07616698737272581
EDTalk,VCTK,XTTSv2,ALS,9,79.80796411302354,82.38445361085495,0.8521728533333333,0.07352199549873545
EDTalk,VCTK,YourTTS,ALS,9,79.49471431308322,80.55060345554007,0.8492898311111111,0.07270204355229354
EDTalk,VCTK,CosyVoice,Stroke,11,69.4840535250577,21.639676249594096,0.8693156227272727,0.03661102580360079
EDTalk,VCTK,XTTSv2,Stroke,11,70.22612970525569,23.40427358676245,0.8758624227272727,0.03519029579906487
EDTalk,VCTK,YourTTS,Stroke,11,68.00307950106534,20.625400660568268,0.8736360118181818,0.0349446733751729
MuseTalk,RAW,CosyVoice,ALS,1,13.045662879943848,,0.9377878,
MuseTalk,VCTK,CosyVoice,ALS,9,27.5920565923055,32.364580262467136,0.9016257166666666,0.04948794506570387
MuseTalk,VCTK,XTTSv2,ALS,9,29.93778313530816,38.34926875130785,0.89757725,0.04754112248220901
MuseTalk,VCTK,YourTTS,ALS,9,30.972523901197647,40.98941159391614,0.8989328066666666,0.04519623186715266
MuseTalk,VCTK,CosyVoice,Stroke,11,31.048344525423918,10.221155878022186,0.8923101118181817,0.039030743769423816
MuseTalk,VCTK,XTTSv2,Stroke,11,29.295353976162996,10.618470526138251,0.8948116099999998,0.0438362584703387
MuseTalk,VCTK,YourTTS,Stroke,11,32.60717929493297,10.65604574002048,0.8928437136363637,0.039754292194875564
