dataset,speaker_id,tts_method,lse_d_score,lse_c_score,video_file
RAW,A015,CosyVoice,11.33853661219279,2.7150182565053305,A015_02_DDK_PATAKA_color_25fps_6sec_CV_A015_PATAKA_cloned.mp4
RAW,S011,YourTTS,11.33853661219279,2.7150182565053305,S011_02_BBP_NORMAL_color_25fps_6sec_YT_S011_BBP_cloned.mp4
RAW,A016,YourTTS,11.33853661219279,2.7150182565053305,A016_02_BBP_NORMAL_color_25fps_6sec_YT_A016_BBP_cloned.mp4
RAW,A017,CosyVoice,11.33853661219279,2.7150182565053305,A017_02_BBP_NORMAL_color_25fps_6sec_CV_A017_BBP_cloned.mp4
RAW,A010,XTTSv2,11.33853661219279,2.7150182565053305,A010_02_BBP_NORMAL_color_25fps_6sec_XT_A010_BBP_cloned.mp4
RAW,S003,CosyVoice,11.33853661219279,2.7150182565053305,S003_02_BBP_NORMAL_color_25fps_6sec_CV_S003_BBP_cloned.mp4
RAW,A008,YourTTS,11.33853661219279,2.7150182565053305,A008_02_BBP_NORMAL_color_25fps_6sec_YT_A008_BBP_cloned.mp4
RAW,A006,YourTTS,11.33853661219279,2.7150182565053305,A006_02_BBP_NORMAL_color_25fps_6sec_YT_A006_BBP_cloned.mp4
RAW,S012,YourTTS,11.33853661219279,2.7150182565053305,S012_02_BBP_NORMAL_color_25fps_6sec_YT_S012_BBP_cloned.mp4
RAW,S007,XTTSv2,11.33853661219279,2.7150182565053305,S007_02_BBP_NORMAL_color_25fps_6sec_XT_S007_BBP_cloned.mp4
RAW,A014,CosyVoice,11.33853661219279,2.7150182565053305,A014_02_BBP_NORMAL_color_25fps_6sec_CV_A014_BBP_cloned.mp4
RAW,S002,XTTSv2,11.33853661219279,2.7150182565053305,S002_02_DDK_PA_color_25fps_6sec_XT_S002_PA_cloned.mp4
RAW,S009,XTTSv2,11.33853661219279,2.7150182565053305,S009_02_BBP_NORMAL_color_25fps_6sec_XT_S009_BBP_cloned.mp4
RAW,S013,CosyVoice,11.33853661219279,2.7150182565053305,S013_02_BBP_NORMAL_color_25fps_6sec_CV_S013_BBP_cloned.mp4
RAW,A011,CosyVoice,11.33853661219279,2.7150182565053305,A011_02_BBP_NORMAL_color_25fps_6sec_CV_A011_BBP_cloned.mp4
RAW,A016,XTTSv2,11.33853661219279,2.7150182565053305,A016_02_BBP_NORMAL_color_25fps_6sec_XT_A016_BBP_cloned.mp4
RAW,S005,CosyVoice,11.33853661219279,2.7150182565053305,S005_02_BBP_NORMAL_color_25fps_6sec_CV_S005_BBP_cloned.mp4
