dataset,data_type,speaker_id,tts_method,is_avatar,lse_d_score,lse_c_score,video_file
RAW,V15,S005,CosyVoice,False,9.928580323855082,2.967564654350281,S005_02_BBP_NORMAL_color_25fps_6sec_CV_S005_BBP_cloned_512.mp4
RAW,V15,S001,XTTSv2,False,9.928580323855082,2.967564654350281,S001_02_DDK_PA_color_25fps_6sec_XT_S001_PA_cloned_512.mp4
RAW,V15,A016,CosyVoice,False,9.928580323855082,2.967564654350281,A016_02_BBP_NORMAL_color_25fps_6sec_CV_A016_BBP_cloned_512.mp4
RAW,V15,A008,CosyVoice,False,9.928580323855082,2.967564654350281,A008_02_BBP_NORMAL_color_25fps_6sec_CV_A008_BBP_cloned_512.mp4
RAW,V15,A017,CosyVoice,False,9.928580323855082,2.967564654350281,A017_02_BBP_NORMAL_color_25fps_6sec_CV_A017_BBP_cloned_512.mp4
RAW,V15,A015,CosyVoice,False,9.928580323855082,2.967564654350281,A015_02_DDK_PATAKA_color_25fps_6sec_CV_A015_PATAKA_cloned_512.mp4
RAW,V15,A011,XTTSv2,False,9.928580323855082,2.967564654350281,A011_02_BBP_NORMAL_color_25fps_6sec_XT_A011_BBP_cloned_512.mp4
RAW,V15,S006,CosyVoice,False,9.928580323855082,2.967564654350281,S006_02_BBP_NORMAL_color_25fps_6sec_CV_S006_BBP_cloned_512.mp4
RAW,V15,A011,YourTTS,False,9.928580323855082,2.967564654350281,A011_02_BBP_NORMAL_color_25fps_6sec_YT_A011_BBP_cloned_512.mp4
RAW,V15,S002,XTTSv2,False,9.928580323855082,2.967564654350281,S002_02_DDK_PA_color_25fps_6sec_XT_S002_PA_cloned_512.mp4
RAW,V15,A010,YourTTS,False,9.928580323855082,2.967564654350281,A010_02_BBP_NORMAL_color_25fps_6sec_YT_A010_BBP_cloned_512.mp4
RAW,V15,S003,YourTTS,False,9.928580323855082,2.967564654350281,S003_02_BBP_NORMAL_color_25fps_6sec_YT_S003_BBP_cloned_512.mp4
RAW,V15,S007,CosyVoice,False,9.928580323855082,2.967564654350281,S007_02_BBP_NORMAL_color_25fps_6sec_CV_S007_BBP_cloned_512.mp4
RAW,V15,S003,XTTSv2,False,9.928580323855082,2.967564654350281,S003_02_BBP_NORMAL_color_25fps_6sec_XT_S003_BBP_cloned_512.mp4
RAW,V15,A010,XTTSv2,False,9.928580323855082,2.967564654350281,A010_02_BBP_NORMAL_color_25fps_6sec_XT_A010_BBP_cloned_512.mp4
RAW,V15,A014,CosyVoice,False,9.928580323855082,2.967564654350281,A014_02_BBP_NORMAL_color_25fps_6sec_CV_A014_BBP_cloned_512.mp4
RAW,V15,A014,YourTTS,False,9.928580323855082,2.967564654350281,A014_02_BBP_NORMAL_color_25fps_6sec_YT_A014_BBP_cloned_512.mp4
RAW,V15,A015,YourTTS,False,9.928580323855082,2.967564654350281,A015_02_DDK_PATAKA_color_25fps_6sec_YT_A015_PATAKA_cloned_512.mp4
RAW,V15,S007,YourTTS,False,9.928580323855082,2.967564654350281,S007_02_BBP_NORMAL_color_25fps_6sec_YT_S007_BBP_cloned_512.mp4
RAW,V15,S007,XTTSv2,False,9.928580323855082,2.967564654350281,S007_02_BBP_NORMAL_color_25fps_6sec_XT_S007_BBP_cloned_512.mp4
RAW,V15,S003,CosyVoice,False,9.928580323855082,2.967564654350281,S003_02_BBP_NORMAL_color_25fps_6sec_CV_S003_BBP_cloned_512.mp4
RAW,V15,A010,CosyVoice,False,9.928580323855082,2.967564654350281,A010_02_BBP_NORMAL_color_25fps_6sec_CV_A010_BBP_cloned_512.mp4
RAW,V15,A014,XTTSv2,False,9.928580323855082,2.967564654350281,A014_02_BBP_NORMAL_color_25fps_6sec_XT_A014_BBP_cloned_512.mp4
RAW,V15,A011,CosyVoice,False,9.928580323855082,2.967564654350281,A011_02_BBP_NORMAL_color_25fps_6sec_CV_A011_BBP_cloned_512.mp4
RAW,V15,S006,XTTSv2,False,9.928580323855082,2.967564654350281,S006_02_BBP_NORMAL_color_25fps_6sec_XT_S006_BBP_cloned_512.mp4
RAW,V15,S006,YourTTS,False,9.928580323855082,2.967564654350281,S006_02_BBP_NORMAL_color_25fps_6sec_YT_S006_BBP_cloned_512.mp4
RAW,V15,S001,CosyVoice,False,9.928580323855082,2.967564654350281,S001_02_DDK_PA_color_25fps_6sec_CV_S001_PA_cloned_512.mp4
RAW,V15,A017,YourTTS,False,9.928580323855082,2.967564654350281,A017_02_BBP_NORMAL_color_25fps_6sec_YT_A017_BBP_cloned_512.mp4
RAW,V15,S002,CosyVoice,False,9.928580323855082,2.967564654350281,S002_02_DDK_PA_color_25fps_6sec_CV_S002_PA_cloned_512.mp4
RAW,V15,A017,XTTSv2,False,9.928580323855082,2.967564654350281,A017_02_BBP_NORMAL_color_25fps_6sec_XT_A017_BBP_cloned_512.mp4
RAW,V15,A008,YourTTS,False,9.928580323855082,2.967564654350281,A008_02_BBP_NORMAL_color_25fps_6sec_YT_A008_BBP_cloned_512.mp4
RAW,V15,S005,XTTSv2,False,9.928580323855082,2.967564654350281,S005_02_BBP_NORMAL_color_25fps_6sec_XT_S005_BBP_cloned_512.mp4
RAW,V15,A016,XTTSv2,False,9.928580323855082,2.967564654350281,A016_02_BBP_NORMAL_color_25fps_6sec_XT_A016_BBP_cloned_512.mp4
RAW,V15,A016,YourTTS,False,9.928580323855082,2.967564654350281,A016_02_BBP_NORMAL_color_25fps_6sec_YT_A016_BBP_cloned_512.mp4
RAW,V15,A008,XTTSv2,False,9.928580323855082,2.967564654350281,A008_02_BBP_NORMAL_color_25fps_6sec_XT_A008_BBP_cloned_512.mp4
RAW,V15,S005,YourTTS,False,9.928580323855082,2.967564654350281,S005_02_BBP_NORMAL_color_25fps_6sec_YT_S005_BBP_cloned_512.mp4
RAW,V15,S012,XTTSv2,False,9.928580323855082,2.967564654350281,S012_02_BBP_NORMAL_color_25fps_6sec_XT_S012_BBP_cloned_512.mp4
RAW,V15,S012,YourTTS,False,9.928580323855082,2.967564654350281,S012_02_BBP_NORMAL_color_25fps_6sec_YT_S012_BBP_cloned_512.mp4
RAW,V15,S008,CosyVoice,False,9.928580323855082,2.967564654350281,S008_02_BBP_NORMAL_color_25fps_6sec_CV_S008_BBP_cloned_512.mp4
RAW,V15,A015,XTTSv2,False,9.928580323855082,2.967564654350281,A015_02_DDK_PATAKA_color_25fps_6sec_XT_A015_PATAKA_cloned_512.mp4
RAW,V15,S009,CosyVoice,False,9.928580323855082,2.967564654350281,S009_02_BBP_NORMAL_color_25fps_6sec_CV_S009_BBP_cloned_512.mp4
RAW,V15,S013,YourTTS,False,9.928580323855082,2.967564654350281,S013_02_BBP_NORMAL_color_25fps_6sec_YT_S013_BBP_cloned_512.mp4
RAW,V15,S002,YourTTS,False,9.928580323855082,2.967564654350281,S002_02_DDK_PA_color_25fps_6sec_YT_S002_PA_cloned_512.mp4
RAW,V15,S013,XTTSv2,False,9.928580323855082,2.967564654350281,S013_02_BBP_NORMAL_color_25fps_6sec_XT_S013_BBP_cloned_512.mp4
RAW,V15,S011,XTTSv2,False,9.928580323855082,2.967564654350281,S011_02_BBP_NORMAL_color_25fps_6sec_XT_S011_BBP_cloned_512.mp4
RAW,V15,A002,XTTSv2,False,9.928580323855082,2.967564654350281,A002_02_BBP_NORMAL_color_25fps_6sec_XT_A002_BBP_cloned_512.mp4
RAW,V15,A006,CosyVoice,False,9.928580323855082,2.967564654350281,A006_02_BBP_NORMAL_color_25fps_6sec_CV_A006_BBP_cloned_512.mp4
RAW,V15,A002,YourTTS,False,9.928580323855082,2.967564654350281,A002_02_BBP_NORMAL_color_25fps_6sec_YT_A002_BBP_cloned_512.mp4
RAW,V15,S001,YourTTS,False,9.928580323855082,2.967564654350281,S001_02_DDK_PA_color_25fps_6sec_YT_S001_PA_cloned_512.mp4
