Dataset,Data_Type,TTS_Method,Count,LSE_D_Mean,LSE_D_Std,LSE_C_Mean,LSE_C_Std
RAW,v15,CosyVoice,20,9.92858032385508,1.7763568394002505e-15,2.9675646543502814,4.440892098500626e-16
RAW,v15,XTTSv2,20,9.92858032385508,1.7763568394002505e-15,2.9675646543502814,4.440892098500626e-16
RAW,v15,YourTTS,20,9.92858032385508,1.7763568394002505e-15,2.9675646543502814,4.440892098500626e-16
RAW,avatar,CosyVoice,20,9.095940446853636,1.7763568394002505e-15,4.456900191307069,8.881784197001252e-16
RAW,avatar,XTTSv2,20,9.095940446853636,1.7763568394002505e-15,4.456900191307069,8.881784197001252e-16
RAW,avatar,YourTTS,20,9.095940446853636,1.7763568394002505e-15,4.456900191307069,8.881784197001252e-16
VCTK,v15,CosyVoice,20,9.224697748819985,1.7763568394002505e-15,3.252932866414388,0.0
VCTK,v15,XTTSv2,20,9.224697748819985,1.7763568394002505e-15,3.252932866414388,0.0
VCTK,v15,YourTTS,20,9.224697748819985,1.7763568394002505e-15,3.252932866414388,0.0
VCTK,avatar,CosyVoice,20,8.795238494873047,0.0,4.211840248107909,8.881784197001252e-16
VCTK,avatar,XTTSv2,20,8.795238494873047,0.0,4.211840248107909,8.881784197001252e-16
VCTK,avatar,YourTTS,20,8.795238494873047,0.0,4.211840248107909,8.881784197001252e-16
