Model,Dataset,Data_Type,TTS_Method,Disease,Count,LSE_D_Mean,LSE_D_Std,LSE_C_Mean,LSE_C_Std
EDTalk,RAW,Avatar,CosyVoice,ALS,9,9.095940446853636,0.0,4.456900191307068,0.0
EDTalk,RAW,Avatar,XTTSv2,ALS,9,9.095940446853636,0.0,4.456900191307068,0.0
EDTalk,RAW,Avatar,YourTTS,ALS,9,9.095940446853636,0.0,4.456900191307068,0.0
EDTalk,RAW,Avatar,CosyVoice,Stroke,11,9.095940446853634,1.8630587706705477e-15,4.456900191307069,9.315293853352739e-16
EDTalk,RAW,Avatar,XTTSv2,Stroke,11,9.095940446853634,1.8630587706705477e-15,4.456900191307069,9.315293853352739e-16
EDTalk,RAW,Avatar,YourTTS,Stroke,11,9.095940446853634,1.8630587706705477e-15,4.456900191307069,9.315293853352739e-16
EDTalk,RAW,V15,CosyVoice,ALS,9,9.928580323855082,0.0,2.967564654350281,0.0
EDTalk,RAW,V15,XTTSv2,ALS,9,9.928580323855082,0.0,2.967564654350281,0.0
EDTalk,RAW,V15,YourTTS,ALS,9,9.928580323855082,0.0,2.967564654350281,0.0
EDTalk,RAW,V15,CosyVoice,Stroke,11,9.928580323855083,1.8630587706705477e-15,2.967564654350281,0.0
EDTalk,RAW,V15,XTTSv2,Stroke,11,9.928580323855083,1.8630587706705477e-15,2.967564654350281,0.0
EDTalk,RAW,V15,YourTTS,Stroke,11,9.928580323855083,1.8630587706705477e-15,2.967564654350281,0.0
EDTalk,VCTK,Avatar,CosyVoice,ALS,9,8.795238494873047,0.0,4.21184024810791,0.0
EDTalk,VCTK,Avatar,XTTSv2,ALS,9,8.795238494873047,0.0,4.21184024810791,0.0
EDTalk,VCTK,Avatar,YourTTS,ALS,9,8.795238494873047,0.0,4.21184024810791,0.0
EDTalk,VCTK,Avatar,CosyVoice,Stroke,11,8.795238494873047,0.0,4.211840248107911,9.315293853352739e-16
EDTalk,VCTK,Avatar,XTTSv2,Stroke,11,8.795238494873047,0.0,4.211840248107911,9.315293853352739e-16
EDTalk,VCTK,Avatar,YourTTS,Stroke,11,8.795238494873047,0.0,4.211840248107911,9.315293853352739e-16
EDTalk,VCTK,V15,CosyVoice,ALS,9,9.224697748819986,0.0,3.252932866414388,0.0
EDTalk,VCTK,V15,XTTSv2,ALS,9,9.224697748819986,0.0,3.252932866414388,0.0
EDTalk,VCTK,V15,YourTTS,ALS,9,9.224697748819986,0.0,3.252932866414388,0.0
EDTalk,VCTK,V15,CosyVoice,Stroke,11,9.224697748819988,1.8630587706705477e-15,3.2529328664143886,4.657646926676369e-16
EDTalk,VCTK,V15,XTTSv2,Stroke,11,9.224697748819988,1.8630587706705477e-15,3.2529328664143886,4.657646926676369e-16
EDTalk,VCTK,V15,YourTTS,Stroke,11,9.224697748819988,1.8630587706705477e-15,3.2529328664143886,4.657646926676369e-16
MuseTalk,RAW,V15,CosyVoice,ALS,9,11.33853661219279,0.0,2.7150182565053305,0.0
MuseTalk,RAW,V15,XTTSv2,ALS,9,11.33853661219279,0.0,2.7150182565053305,0.0
MuseTalk,RAW,V15,YourTTS,ALS,9,11.33853661219279,0.0,2.7150182565053305,0.0
MuseTalk,RAW,V15,CosyVoice,Stroke,11,11.338536612192792,1.8630587706705477e-15,2.715018256505331,4.657646926676369e-16
MuseTalk,RAW,V15,XTTSv2,Stroke,11,11.338536612192792,1.8630587706705477e-15,2.715018256505331,4.657646926676369e-16
MuseTalk,RAW,V15,YourTTS,Stroke,11,11.338536612192792,1.8630587706705477e-15,2.715018256505331,4.657646926676369e-16
MuseTalk,VCTK,V15,CosyVoice,ALS,9,10.511787621180217,0.0,2.2330480257670087,0.0
MuseTalk,VCTK,V15,XTTSv2,ALS,9,10.511787621180217,0.0,2.2330480257670087,0.0
MuseTalk,VCTK,V15,YourTTS,ALS,9,10.511787621180217,0.0,2.2330480257670087,0.0
MuseTalk,VCTK,V15,CosyVoice,Stroke,11,10.511787621180217,0.0,2.2330480257670087,0.0
MuseTalk,VCTK,V15,XTTSv2,Stroke,11,10.511787621180217,0.0,2.2330480257670087,0.0
MuseTalk,VCTK,V15,YourTTS,Stroke,11,10.511787621180217,0.0,2.2330480257670087,0.0
