task,speaker_id,tts_method,fid_score,csim_score,csim_std,original_video,generated_video
task_0,A002,CosyVoice,29.996950149536133,0.82598203,0.038138594,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A002_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A002_02_BBP_NORMAL_color_25fps_6sec_CV_A002_VCTK_cloned.mp4
task_1,A002,XTTSv2,29.754108428955078,0.8365023,0.036719047,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A002_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A002_02_BBP_NORMAL_color_25fps_6sec_XT_A002_VCTK_cloned.mp4
task_2,A002,YourTTS,28.812397003173828,0.84471583,0.037826337,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A002_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A002_02_BBP_NORMAL_color_25fps_6sec_YT_A002_VCTK_cloned.mp4
task_3,A006,CosyVoice,16.614456176757812,0.95292485,0.015386364,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A006_02_BBP_NORMAL_color_25fps_6sec_CV_A006_VCTK_cloned.mp4
task_4,A006,XTTSv2,17.021305084228516,0.9527774,0.016087644,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A006_02_BBP_NORMAL_color_25fps_6sec_XT_A006_VCTK_cloned.mp4
task_5,A006,YourTTS,16.734363555908203,0.9540381,0.01819532,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A006_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A006_02_BBP_NORMAL_color_25fps_6sec_YT_A006_VCTK_cloned.mp4
task_6,A008,CosyVoice,21.040578842163086,0.87927437,0.025495548,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A008_02_BBP_NORMAL_color_25fps_6sec_CV_A008_VCTK_cloned.mp4
task_7,A008,XTTSv2,20.006576538085938,0.87491965,0.02865143,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A008_02_BBP_NORMAL_color_25fps_6sec_XT_A008_VCTK_cloned.mp4
task_8,A008,YourTTS,19.9704532623291,0.8838482,0.030514628,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A008_02_BBP_NORMAL_color_25fps_6sec_YT_A008_VCTK_cloned.mp4
task_9,A010,CosyVoice,12.373453140258789,0.8839816,0.029921032,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A010_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A010_02_BBP_NORMAL_color_25fps_6sec_CV_A010_VCTK_cloned.mp4
